,Age,Candidate,Criminal_Case,PC_NAME,Education,Party,ST_NAME,Winner,Year,Liabilities_num,Assets_num,ST_PC
2649,58,Dr.A.Chellakumar,5,KRISHNAGIRI,Post Graduate,INC,TAMIL NADU,Yes,2019,66817959,121087979,TAMIL NADU:KRISHNAGIRI
2662,72,Ganeshamurthi A,0,ERODE,Graduate,DMK,TAMIL NADU,Yes,2019,2060000,43110000,TAMIL NADU:ERODE
2664,44,Gautham Sigamani Pon,1,KALLAKURICHI,Post Graduate,DMK,TAMIL NADU,Yes,2019,81131909,471186830,TAMIL NADU:KALLAKURICHI
2665,52,Velusamy P,0,DINDIGUL,Illiterate,DMK,TAMIL NADU,Yes,2019,31474526,148076407,TAMIL NADU:DINDIGUL
2721,41,Dnv Senthilkumar.S,1,DHARMAPURI,Post Graduate,DMK,TAMIL NADU,Yes,2019,6053502,48477451,TAMIL NADU:DHARMAPURI
2727,47,Karti P Chidambaram,8,SIVAGANGA,Graduate Professional,INC,TAMIL NADU,Yes,2019,174081116,793729024,TAMIL NADU:SIVAGANGA
2734,48,T. R. V .S. Ramesh,0,CUDDALORE,Graduate Professional,DMK,TAMIL NADU,Yes,2019,102828604,423378552,TAMIL NADU:CUDDALORE
2782,56,Thirumaavalavan Thol,3,CHIDAMBARAM,Doctorate,Viduthalai Chiruthaigal Katchi,TAMIL NADU,Yes,2019,394248,9244092,TAMIL NADU:CHIDAMBARAM
2790,68,P R Natarajan,1,COIMBATORE,12th Pass,CPI(M),TAMIL NADU,Yes,2019,3234168,20284430,TAMIL NADU:COIMBATORE
2807,49,Dr. Kalanidhi Veeraswamy,0,CHENNAI NORTH,Post Graduate,DMK,TAMIL NADU,Yes,2019,258386550,405294714,TAMIL NADU:CHENNAI NORTH
2814,52,Dayanidhi Maran,1,CHENNAI CENTRAL,Graduate,DMK,TAMIL NADU,Yes,2019,0,116790616,TAMIL NADU:CHENNAI CENTRAL
2818,56,Sumathy Alias Thamizhachi Thangapandian,0,CHENNAI SOUTH,Doctorate,DMK,TAMIL NADU,Yes,2019,500000,91793460,TAMIL NADU:CHENNAI SOUTH
2820,71,S. Jagathrakshakan,2,ARAKKONAM,10th Pass,DMK,TAMIL NADU,Yes,2019,166365972,1146984897,TAMIL NADU:ARAKKONAM
2914,30,Indra Hang Subba,0,SIKKIM,Post Graduate,Sikkim Krantikari Morcha,SIKKIM,Yes,2019,0,478817,SIKKIM:SIKKIM
2920,43,Jothimani S,0,KARUR,Post Graduate,INC,TAMIL NADU,Yes,2019,379000,6046055,TAMIL NADU:KARUR
2966,54,Arjunlal Meena,0,UDAIPUR,Post Graduate,BJP,RAJASTHAN,Yes,2019,15602872,48196946,RAJASTHAN:UDAIPUR
2974,65,P. P. Chaudhary,0,PALI,Graduate Professional,BJP,RAJASTHAN,Yes,2019,7278041,385111923,RAJASTHAN:PALI
2978,61,Sukhbir Singh Jaunapuria,0,TONK SAWAI MADHOPUR,12th Pass,BJP,RAJASTHAN,Yes,2019,0,1233802420,RAJASTHAN:TONK SAWAI MADHOPUR
2981,46,Vishnuprasad. M.K,1,ARANI,Graduate Professional,INC,TAMIL NADU,Yes,2019,33409505,234564815,TAMIL NADU:ARANI
3005,47,Hanuman Beniwal,0,NAGAUR,Graduate Professional,Rashtriya Loktantrik Party,RAJASTHAN,Yes,2019,0,4218568,RAJASTHAN:NAGAUR
