,Age,Candidate,Criminal_Case,PC_NAME,Education,Party,ST_NAME,Winner,Year,Liabilities_num,Assets_num,ST_PC
4474,32,Dr. Shrikant Eknath Shinde,1,KALYAN,Post Graduate,SHS,MAHARASHTRA,Yes,2019,1241233,19616515,MAHARASHTRA:KALYAN
4480,55,Ashok Mahadevrao Nete,0,GADCHIROLI CHIMUR,12th Pass,BJP,MAHARASHTRA,Yes,2019,15682840,50136369,MAHARASHTRA:GADCHIROLI CHIMUR
4483,43,Dhanorkar Suresh Narayan,5,CHANDRAPUR,12th Pass,INC,MAHARASHTRA,Yes,2019,22752880,137455342,MAHARASHTRA:CHANDRAPUR
4519,58,Prataprao Ganpatrao Jadhav,3,BULDHANA,12th Pass,SHS,MAHARASHTRA,Yes,2019,735482,116272966,MAHARASHTRA:BULDHANA
4523,40,Bharti Pawar,0,DINDORI,Graduate Professional,BJP,MAHARASHTRA,Yes,2019,1449572,122885349,MAHARASHTRA:DINDORI
4527,66,Subhash Ramrao Bhamre,2,DHULE,Post Graduate,BJP,MAHARASHTRA,Yes,2019,1000000,158651112,MAHARASHTRA:DHULE
4531,58,Kapil Moreshwar Patil,0,BHIWANDI,Graduate,BJP,MAHARASHTRA,Yes,2019,5645459,418850781,MAHARASHTRA:BHIWANDI
4533,50,Sunil Baburao Mendhe,2,BHANDARA GONDIYA,Others,BJP,MAHARASHTRA,Yes,2019,19861338,627543615,MAHARASHTRA:BHANDARA GONDIYA
4595,50,Imtiaz Jaleel Syed,4,AURANGABAD,Post Graduate,AIMIM,MAHARASHTRA,Yes,2019,6800000,29562768,MAHARASHTRA:AURANGABAD
4601,49,Supriya Sadanand Sule,0,BARAMATI,Graduate,NCP,MAHARASHTRA,Yes,2019,5500000,1408888704,MAHARASHTRA:BARAMATI
4636,33,Navneet Ravi Rana,1,AMRAVATI,10th Pass,IND,MAHARASHTRA,Yes,2019,70576979,124554656,MAHARASHTRA:AMRAVATI
4644,37,Sujay Radhakrishna Vikhe,0,AHMEDNAGAR,Doctorate,BJP,MAHARASHTRA,Yes,2019,2623964,168664576,MAHARASHTRA:AHMEDNAGAR
4679,65,Virendra Kumar,0,TIKAMGARH,Doctorate,BJP,MADHYA PRADESH,Yes,2019,1974216,21503766,MADHYA PRADESH:TIKAMGARH
4683,41,Riti Pathak,0,SIDHI,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,505922,51541791,MADHYA PRADESH:SIDHI
4685,60,Sanjay Shamrao Dhotre,1,AKOLA,Graduate Professional,BJP,MAHARASHTRA,Yes,2019,14985774,77153230,MAHARASHTRA:AKOLA
4690,47,Anil Firojiya,0,UJJAIN,12th Pass,BJP,MADHYA PRADESH,Yes,2019,3203766,26417937,MADHYA PRADESH:UJJAIN
4736,36,Pritam Gopinathrao Munde,1,BEED,Post Graduate,BJP,MAHARASHTRA,Yes,2019,98833794,167477926,MAHARASHTRA:BEED
4740,32,Himadri Singh,0,SHAHDOL,Graduate,BJP,MADHYA PRADESH,Yes,2019,1736289,36564408,MADHYA PRADESH:SHAHDOL
4741,56,Ganesh Singh,2,SATNA,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,0,41719076,MADHYA PRADESH:SATNA
4806,51,Rajbahadur Singh,1,SAGAR,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,547428,16416828,MADHYA PRADESH:SAGAR
4813,62,Janardan Prasad Mishra,0,REWA,Graduate Professional,BJP,MADHYA PRADESH,Yes,2019,580627,20359750,MADHYA PRADESH:REWA
4817,58,Rodmal Nagar,0,RAJGARH,Graduate,BJP,MADHYA PRADESH,Yes,2019,3921362,40198295,MADHYA PRADESH:RAJGARH
4820,62,Guman Singh Damor	,0,RATLAM,Graduate Professional,BJP,MADHYA PRADESH,Yes,2019,4890940,42072262,MADHYA PRADESH:RATLAM
4858,59,Sudheer Gupta,1,MANDSOUR,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,799283,90908944,MADHYA PRADESH:MANDSOUR
4864,59,Faggan Singh Kulaste,0,MANDLA,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,1000075,26702373,MADHYA PRADESH:MANDLA
4881,66,Ramakant Bhargava,0,VIDISHA,12th Pass,BJP,MADHYA PRADESH,Yes,2019,3332012,30032282,MADHYA PRADESH:VIDISHA
4887,49,Vishnu Datt Sharma,0,KHAJURAHO,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,2507176,10589334,MADHYA PRADESH:KHAJURAHO
4911,61,Narendra Singh Tomar,1,MORENA,Graduate,BJP,MADHYA PRADESH,Yes,2019,6689767,23062224,MADHYA PRADESH:MORENA
4918,57,Shankar Lalwani,2,INDORE,Graduate Professional,BJP,MADHYA PRADESH,Yes,2019,2106382,59038508,MADHYA PRADESH:INDORE
4921,56,Rakesh Singh,1,JABALPUR,Graduate,BJP,MADHYA PRADESH,Yes,2019,1387000,43134351,MADHYA PRADESH:JABALPUR
4924,54,Rao Uday Pratap Singh,1,HOSHANGABAD,Graduate,BJP,MADHYA PRADESH,Yes,2019,9103300,154783105,MADHYA PRADESH:HOSHANGABAD
4989,66,Nandkumar Singh Chouhan (Nandu Bhaiya),0,KHANDWA,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,4819099,19076515,MADHYA PRADESH:KHANDWA
5000,43,Krishna Pal Singh,0,GUNA,Graduate Professional,BJP,MADHYA PRADESH,Yes,2019,494053,16266408,MADHYA PRADESH:GUNA
5013,43,Gajendra Umrao Singh Patel,0,KHARGONE,Graduate Professional,BJP,MADHYA PRADESH,Yes,2019,1885020,67303990,MADHYA PRADESH:KHARGONE
5020,71,Vivek Narayan Shejwalkar,0,GWALIOR,Graduate Professional,BJP,MADHYA PRADESH,Yes,2019,0,58911673,MADHYA PRADESH:GWALIOR
5029,44,Nakul Nath,0,CHHINDWARA,Graduate,INC,MADHYA PRADESH,Yes,2019,8791712,6601946757,MADHYA PRADESH:CHHINDWARA
5032,65,Chhatar Singh Darbar,1,DHAR,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,2471613,23198238,MADHYA PRADESH:DHAR
5036,35,Mahendra Singh Solanky,0,DEWAS,Graduate Professional,BJP,MADHYA PRADESH,Yes,2019,1832631,3812464,MADHYA PRADESH:DEWAS
5065,59,Prahalad Singh Patel,0,DAMOH,Graduate Professional,BJP,MADHYA PRADESH,Yes,2019,4230614,43292483,MADHYA PRADESH:DAMOH
5074,45,Sandhya Ray,0,BHIND,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,13400000,51108660,MADHYA PRADESH:BHIND
5098,43,Mohammed Faizal Pp,2,LAKSHADWEEP,Post Graduate,NCP,LAKSHADWEEP,Yes,2019,0,938641,LAKSHADWEEP:LAKSHADWEEP
5104,62,K. Muraleedharan,3,VADAKARA,Graduate,INC,KERALA,Yes,2019,0,114379340,KERALA:VADAKARA
5116,48,Rahul Gandhi,5,WAYANAD,Post Graduate,INC,KERALA,Yes,2019,7201904,158877063,KERALA:WAYANAD
5125,66,Dr. Dhal Singh Bisen,0,BALAGHAT,Others,BJP,MADHYA PRADESH,Yes,2019,1530693,88648133,MADHYA PRADESH:BALAGHAT
5137,58,T. N. Prathapan,7,THRISSUR,12th Pass,INC,KERALA,Yes,2019,2978120,8609349,KERALA:THRISSUR
5140,63,Shashi Tharoor,2,THIRUVANANTHAPURAM,Doctorate,INC,KERALA,Yes,2019,0,350022585,KERALA:THIRUVANANTHAPURAM
5183,55,Durga Das (D.D.) Uikey,0,BETUL,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,875803,15413532,MADHYA PRADESH:BETUL
5192,72,E T Mohammed Basheer,0,PONNANI,10th Pass,IUML,KERALA,Yes,2019,0,8103274,KERALA:PONNANI
5195,62,Anto Antony,1,PATHANAMTHITTA,Graduate,INC,KERALA,Yes,2019,7723227,6075876,KERALA:PATHANAMTHITTA
5211,49,V K Sreekandan,7,PALAKKAD,Graduate,INC,KERALA,Yes,2019,2709000,6356399,KERALA:PALAKKAD
5217,56,Kodikunnil Suresh,1,MAVELIKKARA,Post Graduate,INC,KERALA,Yes,2019,982819,12965129,KERALA:MAVELIKKARA
5220,67,Kunhalikutty,2,MALAPPURAM,Graduate,IUML,KERALA,Yes,2019,0,52932535,KERALA:MALAPPURAM
5223,66,M.K.Raghavan,1,KOZHIKODE,Graduate,INC,KERALA,Yes,2019,3174805,12502009,KERALA:KOZHIKODE
5252,66,Thomas Chazhikadan,0,KOTTAYAM,Graduate Professional,Kerala Congress (M),KERALA,Yes,2019,495778,26027478,KERALA:KOTTAYAM
5259,65,Rajmohan Unnithan,1,KASARAGOD,Graduate,INC,KERALA,Yes,2019,862257,21570257,KERALA:KASARAGOD
5262,58,Premachandran N K,5,KOLLAM,Graduate Professional,Revolutionary Socialist Party,KERALA,Yes,2019,3270587,17500650,KERALA:KOLLAM
5276,49,Sadhvi Pragya Singh Thakur,1,BHOPAL,Post Graduate,BJP,MADHYA PRADESH,Yes,2019,0,444224,MADHYA PRADESH:BHOPAL
5283,70,K Sudhakaran,3,KANNUR,Post Graduate,INC,KERALA,Yes,2019,7468633,29699206,KERALA:KANNUR
5285,37,Dean Kuriakose,204,IDUKKI,Post Graduate,INC,KERALA,Yes,2019,10000000,13395011,KERALA:IDUKKI
5298,35,Hibi Eden,7,ERNAKULAM,Graduate,INC,KERALA,Yes,2019,200000,7908467,KERALA:ERNAKULAM
5302,66,Benny Behanan,4,CHALAKUDY,Graduate,INC,KERALA,Yes,2019,915938,20461931,KERALA:CHALAKUDY
5350,63,Adoor Prakash,7,ATTINGAL,Graduate Professional,INC,KERALA,Yes,2019,27622685,144098612,KERALA:ATTINGAL
5354,32,Ramya P M,3,ALATHUR,10th Pass,INC,KERALA,Yes,2019,0,1152816,KERALA:ALATHUR
5357,54,A M Ariff,2,ALAPPUZHA,Graduate Professional,CPI(M),KERALA,Yes,2019,2220700,15268906,KERALA:ALAPPUZHA
5386,52,Shobha Karandlaje,3,UDUPI CHIKMAGALUR,Post Graduate,BJP,KARNATAKA,Yes,2019,49936840,104872668,KARNATAKA:UDUPI CHIKMAGALUR
5393,46,B.Y.Raghavendra,2,SHIMOGA,Graduate,BJP,KARNATAKA,Yes,2019,14150647,674093851,KARNATAKA:SHIMOGA
5397,78,G S Basavaraj,0,TUMKUR,Graduate Professional,BJP,KARNATAKA,Yes,2019,113844867,510779150,KARNATAKA:TUMKUR
5399,62,Raja Amareshwara Naik,0,RAICHUR,Graduate Professional,BJP,KARNATAKA,Yes,2019,678532,30638375,KARNATAKA:RAICHUR
5429,51,Anantkumar Hegde,4,UTTARA KANNADA,12th Pass,BJP,KARNATAKA,Yes,2019,41016655,84755455,KARNATAKA:UTTARA KANNADA
5437,29,Sumalatha W/O Darshan K.,0,MANDYA,Post Graduate,IND,KARNATAKA,Yes,2019,0,2823601,KARNATAKA:MANDYA
5440,64,Karadi Sanganna Amarappa,1,KOPPAL,10th Pass,BJP,KARNATAKA,Yes,2019,22475333,28725791,KARNATAKA:KOPPAL
5476,42,Prathap Simha,3,MYSORE,Post Graduate,BJP,KARNATAKA,Yes,2019,6586698,18723762,KARNATAKA:MYSORE
5489,44,S. Muniswamy,2,KOLAR,12th Pass,BJP,KARNATAKA,Yes,2019,19865690,174557500,KARNATAKA:KOLAR
5492,28,Prajwal R,0,HASSAN,Graduate Professional,JD(S),KARNATAKA,Yes,2019,37253210,97848632,KARNATAKA:HASSAN
5497,52,Udasi. S.C.,0,HAVERI,12th Pass,BJP,KARNATAKA,Yes,2019,165566495,718499195,KARNATAKA:HAVERI
5528,60,Dr. Umesh G Jadhav,0,GULBARGA,Post Graduate,BJP,KARNATAKA,Yes,2019,0,37490597,KARNATAKA:GULBARGA
5536,67,G M Siddeshwar,0,DAVANAGERE,10th Pass,BJP,KARNATAKA,Yes,2019,14670809,380164932,KARNATAKA:DAVANAGERE
5564,62,A Narayanaswamy,0,CHITRADURGA,Graduate,BJP,KARNATAKA,Yes,2019,0,96197642,KARNATAKA:CHITRADURGA
5572,56,Pralhad Joshi,1,DHARWAD,Graduate,BJP,KARNATAKA,Yes,2019,51736254,111384447,KARNATAKA:DHARWAD
5575,55,Annasaheb Shankar Jolle,0,CHIKKODI,12th Pass,BJP,KARNATAKA,Yes,2019,195595693,344922831,KARNATAKA:CHIKKODI
5582,76,B.N.Bache Gowda,0,CHIKKBALLAPUR,Graduate Professional,BJP,KARNATAKA,Yes,2019,0,1153501141,KARNATAKA:CHIKKBALLAPUR
5627,50,Bhagwanth Khuba,1,BIDAR,Graduate Professional,BJP,KARNATAKA,Yes,2019,10239000,51836416,KARNATAKA:BIDAR
5649,71,V Srinivas Prasad,0,CHAMARAJANAGAR,Post Graduate,BJP,KARNATAKA,Yes,2019,324909,143804441,KARNATAKA:CHAMARAJANAGAR
5655,66,Jigajinagi Ramesh Chandappa,0,BIJAPUR,Graduate,BJP,KARNATAKA,Yes,2019,1600000,504122985,KARNATAKA:BIJAPUR
5657,67,Y. Devendrappa,0,BELLARY,5th Pass,BJP,KARNATAKA,Yes,2019,250000,40107878,KARNATAKA:BELLARY
5661,52,D.K. Suresh,5,BANGALORE RURAL,12th Pass,INC,KARNATAKA,Yes,2019,519320305,3388920717,KARNATAKA:BANGALORE RURAL
5697,52,Nalin Kumar Kateel,4,DAKSHINA KANNADA,10th Pass,BJP,KARNATAKA,Yes,2019,4450945,14678300,KARNATAKA:DAKSHINA KANNADA
5703,28,Tejasvi Surya,0,BANGALORE SOUTH,Graduate Professional,BJP,KARNATAKA,Yes,2019,0,1346593,KARNATAKA:BANGALORE SOUTH
5733,66,D.V. Sadananda Gowda,0,BANGALORE NORTH,Graduate Professional,BJP,KARNATAKA,Yes,2019,104302653,209384539,KARNATAKA:BANGALORE NORTH
5740,35,Geeta Kora,1,SINGHBHUM,Post Graduate,INC,JHARKHAND,Yes,2019,1928508,25249018,JHARKHAND:SINGHBHUM
5744,60,Sanjay Seth,0,RANCHI,Graduate Professional,BJP,JHARKHAND,Yes,2019,100000,14044267,JHARKHAND:RANCHI
5758,68,Gaddigoudar Parvatagouda Chandanagouda,0,BAGALKOT,Graduate Professional,BJP,KARNATAKA,Yes,2019,7987991,43980663,KARNATAKA:BAGALKOT
5806,63,Angadi Suresh,0,BELGAUM,Graduate Professional,BJP,KARNATAKA,Yes,2019,198479638,366164525,KARNATAKA:BELGAUM
5810,55,P. C. Mohan,0,BANGALORE CENTRAL,12th Pass,BJP,KARNATAKA,Yes,2019,312521957,755529306,KARNATAKA:BANGALORE CENTRAL
5884,68,Vishnu Dayal Ram,0,PALAMU,Graduate,BJP,JHARKHAND,Yes,2019,90922,32273873,JHARKHAND:PALAMU
5891,50,Annapurna Devi,0,KODARMA,Post Graduate,BJP,JHARKHAND,Yes,2019,3189066,97636939,JHARKHAND:KODARMA
5894,52,Sudarshan Bhagat,0,LOHARDAGA,Graduate,BJP,JHARKHAND,Yes,2019,525000,12947303,JHARKHAND:LOHARDAGA
5896,50,Arjun Munda,0,KHUNTI,12th Pass,BJP,JHARKHAND,Yes,2019,27106434,91507865,JHARKHAND:KHUNTI
5942,36,Vijay Kumar Hansdak,0,RAJMAHAL,10th Pass,JMM,JHARKHAND,Yes,2019,2743560,12919555,JHARKHAND:RAJMAHAL
5950,55,Jayant Sinha,0,HAZARIBAGH,Post Graduate,BJP,JHARKHAND,Yes,2019,193271437,770749002,JHARKHAND:HAZARIBAGH
5954,47,Nishikant Dubey,4,GODDA,Doctorate,BJP,JHARKHAND,Yes,2019,0,462757500,JHARKHAND:GODDA
5984,39,Sunil Soren,0,DUMKA,12th Pass,BJP,JHARKHAND,Yes,2019,685516,4737559,JHARKHAND:DUMKA
5990,69,Pashupati Nath Singh,0,DHANBAD,Graduate,BJP,JHARKHAND,Yes,2019,0,27286918,JHARKHAND:DHANBAD
5993,55,Sunil Kumar Singh,0,CHATRA,Post Graduate,BJP,JHARKHAND,Yes,2019,1889051,226209137,JHARKHAND:CHATRA
6044,50,Chandra Prakash Choudhary,2,GIRIDIH,Graduate,AJSU Party,JHARKHAND,Yes,2019,1330000,13456889,JHARKHAND:GIRIDIH
6054,83,Farooq Abdullah,1,SRINAGAR,Graduate Professional,Jammu & Kashmir National Conference,JAMMU,Yes,2019,0,121904435,JAMMU:SRINAGAR
6058,33,Tsering Namgyal,1,LADAKH,Graduate,BJP,JAMMU,Yes,2019,0,981904,JAMMU:LADAKH
6060,62,Dr. Jitendra Singh,0,UDHAMPUR,Post Graduate,BJP,JAMMU,Yes,2019,0,70827203,JAMMU:UDHAMPUR
6087,56,Jugal Kishore,0,JAMMU,10th Pass,BJP,JAMMU,Yes,2019,350040219,56481801,JAMMU:JAMMU
6095,71,Mohammad Akbar Lone,0,BARAMULLA,Graduate Professional,Jammu & Kashmir National Conference,JAMMU,Yes,2019,104935,597434000,JAMMU:BARAMULLA
6099,65,Hasnain Masoodi,0,ANANTNAG,Post Graduate,Jammu & Kashmir National Conference,JAMMU,Yes,2019,0,87620672,JAMMU:ANANTNAG
6138,48,Suresh Kumar Kashyap,0,SHIMLA,Post Graduate,BJP,HIMACHAL PRADESH,Yes,2019,7873806,15705738,HIMACHAL PRADESH:SHIMLA
6140,60,Ram Swaroop Sharma,0,MANDI,10th Pass,BJP,HIMACHAL PRADESH,Yes,2019,783963,15724337,HIMACHAL PRADESH:MANDI
6141,67,Kishan Kapoor,2,KANGRA,12th Pass,BJP,HIMACHAL PRADESH,Yes,2019,3605161,85841247,HIMACHAL PRADESH:KANGRA
6149,45,Anurag Singh Thakur,3,HAMIRPUR,Graduate,BJP,HIMACHAL PRADESH,Yes,2019,1085145,56770463,HIMACHAL PRADESH:HAMIRPUR
6183,56,Bidyut Baran Mahato,3,JAMSHEDPUR,12th Pass,BJP,JHARKHAND,Yes,2019,2961830,27750671,JHARKHAND:JAMSHEDPUR
6193,62,Ramesh Chander Kaushik,0,SONIPAT,Graduate Professional,BJP,HARYANA,Yes,2019,0,235859266,HARYANA:SONIPAT
6205,51,Sunita Duggal,0,SIRSA,Post Graduate,BJP,HARYANA,Yes,2019,2500000,42596349,HARYANA:SIRSA
6220,56,Arvind Kumar Sharma,0,ROHTAK,Post Graduate,BJP,HARYANA,Yes,2019,16778090,41079284,HARYANA:ROHTAK
6273,51,Sanjay Bhatia,0,KARNAL,Graduate,BJP,HARYANA,Yes,2019,500000,2256739,HARYANA:KARNAL
6289,49,Nayab Singh,0,KURUKSHETRA,Graduate Professional,BJP,HARYANA,Yes,2019,5720000,35785621,HARYANA:KURUKSHETRA
6299,64,Dharambir Singh,0,BHIWANI MAHENDRAGARH,Graduate,BJP,HARYANA,Yes,2019,240000,60642205,HARYANA:BHIWANI MAHENDRAGARH
6301,69,Rao Inderjit Singh,0,GURGAON,Graduate Professional,BJP,HARYANA,Yes,2019,31500000,420970754,HARYANA:GURGAON
6304,46,Brijendra Singh,0,HISAR,Post Graduate,BJP,HARYANA,Yes,2019,27225637,146408734,HARYANA:HISAR
6307,67,Rattan Lal Kataria,0,AMBALA,Post Graduate,BJP,HARYANA,Yes,2019,188861,54361499,HARYANA:AMBALA
6308,69,Dr.K.C.Patel,0,VALSAD,Graduate Professional,BJP,GUJARAT,Yes,2019,0,68239480,GUJARAT:VALSAD
6411,62,Krishan Pal,0,FARIDABAD,Graduate Professional,BJP,HARYANA,Yes,2019,105593242,369652786,HARYANA:FARIDABAD
6415,56,Ranjanben Bhatt,0,VADODARA,12th Pass,BJP,GUJARAT,Yes,2019,0,29426428,GUJARAT:VADODARA
6451,57,Rameshbhai Dhaduk,0,PORBANDAR,10th Pass,BJP,GUJARAT,Yes,2019,217944697,357564783,GUJARAT:PORBANDAR
6457,64,Dabhi Bharatsinhji Shankarji,0,PATAN,Graduate,BJP,GUJARAT,Yes,2019,5613860,47373221,GUJARAT:PATAN
6480,50,Mahendrabhai Munjpara,0,SURENDRANAGAR,Post Graduate,BJP,GUJARAT,Yes,2019,14822528,79084513,GUJARAT:SURENDRANAGAR
6485,64,Patil Chandrakant,1,NAVSARI,10th Pass,BJP,GUJARAT,Yes,2019,56846658,446044269,GUJARAT:NAVSARI
6488,59,Ratansinh Rathod,0,PANCHMAHAL,Graduate Professional,BJP,GUJARAT,Yes,2019,1081611,10260663,GUJARAT:PANCHMAHAL
6492,54,Chauhan Devusinh,0,KHEDA,Others,BJP,GUJARAT,Yes,2019,995240,13023202,GUJARAT:KHEDA
6549,67,Rathod Dipsinh Shankarsinh,0,SABARKANTHA,8th Pass,BJP,GUJARAT,Yes,2019,0,23997443,GUJARAT:SABARKANTHA
6557,71,Shardaben Anilbhai Patel,0,MAHESANA,12th Pass,BJP,GUJARAT,Yes,2019,7477793,440308300,GUJARAT:MAHESANA
6581,40,Chavda Vinod Lakhamshi,0,KACHCHH,Post Graduate,BJP,GUJARAT,Yes,2019,12458607,33508455,GUJARAT:KACHCHH
6589,36,Chudasama Rajeshbhai Naranbhai,1,JUNAGADH,12th Pass,BJP,GUJARAT,Yes,2019,1481768,10866041,GUJARAT:JUNAGADH
6592,54,Amit Shah,4,GANDHINAGAR,12th Pass,BJP,GUJARAT,Yes,2019,4769587,403275307,GUJARAT:GANDHINAGAR
6620,58,Jardosh Darshnaben Vikrambhai,0,SURAT,Graduate,BJP,GUJARAT,Yes,2019,0,23872876,GUJARAT:SURAT
6626,47,Rathva Gitaben Vajesingbhai,0,CHHOTA UDAIPUR,12th Pass,BJP,GUJARAT,Yes,2019,0,8634660,GUJARAT:CHHOTA UDAIPUR
6628,52,Jasvantsinh Sumanbhai Bhabhor,0,DAHOD,Graduate Professional,BJP,GUJARAT,Yes,2019,0,27070480,GUJARAT:DAHOD
6630,44,Poonamben Hematbhai Maadam,0,JAMNAGAR,Graduate,BJP,GUJARAT,Yes,2019,98632194,427331034,GUJARAT:JAMNAGAR
6676,61,Mansukhbhai Vasava,0,BHARUCH,Post Graduate,BJP,GUJARAT,Yes,2019,0,6835957,GUJARAT:BHARUCH
6682,55,Dr.Bharatiben Dhirubhai Shiyal,0,BHAVNAGAR,Graduate Professional,BJP,GUJARAT,Yes,2019,3689036,17753161,GUJARAT:BHAVNAGAR
6687,49,Parbhubhai Nagarbhai Vasava	,0,BARDOLI,Others,BJP,GUJARAT,Yes,2019,3676869,28350217,GUJARAT:BARDOLI
6715,67,Kundaria Mohanbhai,0,RAJKOT,8th Pass,BJP,GUJARAT,Yes,2019,16566856,68818120,GUJARAT:RAJKOT
6724,54,Miteshbhai Patel,2,ANAND,Others,BJP,GUJARAT,Yes,2019,7810840,77043053,GUJARAT:ANAND
6727,64,Kachhadiya Naranbhai Bhikhabhai,0,AMRELI,12th Pass,BJP,GUJARAT,Yes,2019,828961,35900763,GUJARAT:AMRELI
6731,69,Dr. Solanki Kiritbhai,0,AHMEDABAD WEST,Post Graduate,BJP,GUJARAT,Yes,2019,0,89474039,GUJARAT:AHMEDABAD WEST
6760,70,Parbatbhai Patel,0,BANASKANTHA,Graduate Professional,BJP,GUJARAT,Yes,2019,4500000,41819177,GUJARAT:BANASKANTHA
6767,58,Patel Hasmukhbhai Somabhai,0,AHMEDABAD EAST,Others,BJP,GUJARAT,Yes,2019,6252577,74699690,GUJARAT:AHMEDABAD EAST
6770,73,Cosme Francisco Caitano Sardinha,0,SOUTH GOA,Graduate Professional,INC,GOA,Yes,2019,0,79402232,GOA:SOUTH GOA
6806,56,Delkar Mohanbhai Sanjibhai,0,DADRA AND NAGAR HAVELI,Graduate,IND,DADRA,Yes,2019,37268162,708885980,DADRA:DADRA AND NAGAR HAVELI
6814,55,Renuka Singh Saruta,0,SURGUJA,12th Pass,BJP,CHHATTISGARH,Yes,2019,3251275,27682493,CHHATTISGARH:SURGUJA
6818,51,Santosh Pandey,0,RAJNANDGAON,Graduate Professional,BJP,CHHATTISGARH,Yes,2019,1519820,24861970,CHHATTISGARH:RAJNANDGAON
6841,66,Shripad Yesso Naik,0,NORTH GOA,Graduate,BJP,GOA,Yes,2019,1491387,65795623,GOA:NORTH GOA
6847,63,Patel Lalubhai Babubhai,0,DAMAN AND DIU,8th Pass,BJP,DAMAN,Yes,2019,9969514,213993750,DAMAN:DAMAN AND DIU
6851,51,Chunni Lal Sahu,0,MAHASAMUND,Graduate,BJP,CHHATTISGARH,Yes,2019,1383014,17591683,CHHATTISGARH:MAHASAMUND
6854,43,Gomati ,0,RAIGARH,12th Pass,BJP,CHHATTISGARH,Yes,2019,0,7043539,CHHATTISGARH:RAIGARH
6878,57,Sunil Kumar Soni,0,RAIPUR,Graduate,BJP,CHHATTISGARH,Yes,2019,2482214,46068126,CHHATTISGARH:RAIPUR
6886,65,Jyotsna Mahant,0,KORBA,Post Graduate,INC,CHHATTISGARH,Yes,2019,0,150639697,CHHATTISGARH:KORBA
6890,61,Mohan Mandavi,0,KANKER,Post Graduate,BJP,CHHATTISGARH,Yes,2019,679000,28675553,CHHATTISGARH:KANKER
6897,52,Guharam Ajgalle,0,JANJGIR CHAMPA,Graduate Professional,BJP,CHHATTISGARH,Yes,2019,0,18400837,CHHATTISGARH:JANJGIR CHAMPA
6940,38,Deepak Kumar Baij,1,BASTAR,Post Graduate,INC,CHHATTISGARH,Yes,2019,1801236,7721293,CHHATTISGARH:BASTAR
6946,66,Kirron Kher,0,CHANDIGARH,Post Graduate,BJP,CHANDIGARH,Yes,2019,6279188,474983574,CHANDIGARH:CHANDIGARH
6982,62,Baidyanath Prasad Mahto,4,VALMIKI NAGAR,10th Pass,JD(U),BIHAR,Yes,2019,2915945,17934888,BIHAR:VALMIKI NAGAR
6990,48,Veena Devi,2,VAISHALI,10th Pass,LJP,BIHAR,Yes,2019,112089220,337284632,BIHAR:VAISHALI
6993,53,Nityanand Rai,3,UJIARPUR,Graduate,BJP,BIHAR,Yes,2019,357561,187007570,BIHAR:UJIARPUR
7034,58,Sunil Kumar,6,SITAMARHI,Graduate,JD(U),BIHAR,Yes,2019,10277790,60717031,BIHAR:SITAMARHI
7042,33,Kavita Singh,4,SIWAN,Post Graduate,JD(U),BIHAR,Yes,2019,412511,19325264,BIHAR:SIWAN
7073,69,Rama Devi,1,SHEOHAR,Graduate Professional,BJP,BIHAR,Yes,2019,0,328364940,BIHAR:SHEOHAR
7087,73,Dileshwar Kamait,2,SUPAUL,Graduate,JD(U),BIHAR,Yes,2019,0,23441606,BIHAR:SUPAUL
7089,58,Rajiv Pratap Rudy,0,SARAN,Post Graduate,BJP,BIHAR,Yes,2019,0,80740349,BIHAR:SARAN
7132,51,Arun Sao,0,BILASPUR,Graduate Professional,BJP,CHHATTISGARH,Yes,2019,50000,13544588,CHHATTISGARH:BILASPUR
7137,59,Vijay Baghel,0,DURG,Graduate,BJP,CHHATTISGARH,Yes,2019,8748686,34429027,CHHATTISGARH:DURG
7139,58,Ramchandra Paswan,5,SAMASTIPUR,10th Pass,LJP,BIHAR,Yes,2019,999057,17375975,BIHAR:SAMASTIPUR
7192,42,Santosh Kumar,1,PURNIA,12th Pass,JD(U),BIHAR,Yes,2019,2500000,41036294,BIHAR:PURNIA
7194,69,Radha Mohan Singh,1,PURVI CHAMPARAN,Graduate,BJP,BIHAR,Yes,2019,1146627,33791375,BIHAR:PURVI CHAMPARAN
7230,50,Ajay Nishad,1,MUZAFFARPUR,Graduate,BJP,BIHAR,Yes,2019,15714320,298867486,BIHAR:MUZAFFARPUR
7234,58,Ram Kripal Yadav,0,PATALIPUTRA,Graduate,BJP,BIHAR,Yes,2019,1717310,29213467,BIHAR:PATALIPUTRA
7235,64,Ravi Shankar Prasad,0,PATNA SAHIB,Post Graduate,BJP,BIHAR,Yes,2019,0,235275591,BIHAR:PATNA SAHIB
7293,65,Rajiv Ranjan Singh,1,MUNGER,Graduate,JD(U),BIHAR,Yes,2019,7534918,88324866,BIHAR:MUNGER
